acquired,anomalous_pixels,cloud_cover,ground_control,gsd,instrument,item_type,pixel_resolution,provider,published,publishing_stage,quality_category,satellite_azimuth,satellite_id,strip_id,sun_azimuth,sun_elevation,updated,view_angle,clear_confidence_percent,clear_percent,cloud_percent,heavy_haze_percent,light_haze_percent,shadow_percent,snow_ice_percent,visible_confidence_percent,visible_percent,id
2023-12-15T16:04:16.542989Z,0,0,True,4.0,PSB.SD,PSScene,3,planetscope,2024-02-21T16:23:13Z,finalized,standard,275.0,24fc,6968889,164.8,26.7,2024-02-21T16:23:13Z,2.1,,,,,,,,,,20231215_160416_54_24fc
2023-12-15T16:04:14.258806Z,0,0,True,4.0,PSB.SD,PSScene,3,planetscope,2024-02-21T16:23:13Z,finalized,standard,275.0,24fc,6968889,164.8,26.6,2024-02-21T16:23:13Z,2.1,,,,,,,,,,20231215_160414_25_24fc
2023-12-15T16:04:11.974623Z,0,0,True,4.0,PSB.SD,PSScene,3,planetscope,2024-02-21T16:23:13Z,finalized,standard,275.0,24fc,6968889,164.9,26.5,2024-03-15T16:18:51Z,2.1,94.0,100.0,0.0,0.0,0.0,0.0,0.0,66.0,100.0,20231215_160411_97_24fc
2023-12-15T16:04:09.690441Z,0,0,True,4.0,PSB.SD,PSScene,3,planetscope,2024-02-21T16:23:13Z,finalized,standard,275.1,24fc,6968889,164.9,26.3,2024-03-05T19:52:04Z,2.1,94.0,100.0,0.0,0.0,0.0,0.0,0.0,77.0,100.0,20231215_160409_69_24fc
2023-12-15T16:04:23.395481Z,0,0,True,4.0,PSB.SD,PSScene,3,planetscope,2024-02-21T16:23:12Z,finalized,standard,275.4,24fc,6968889,164.6,27.1,2024-02-21T16:23:12Z,2.1,,,,,,,,,,20231215_160423_39_24fc
2023-12-15T16:04:18.827171Z,0,0,True,4.0,PSB.SD,PSScene,3,planetscope,2024-02-21T16:23:12Z,finalized,standard,275.0,24fc,6968889,164.7,26.9,2024-02-21T16:23:12Z,2.1,,,,,,,,,,20231215_160418_82_24fc
2023-11-17T16:01:55.460772Z,0,0,True,4.0,PSB.SD,PSScene,3,planetscope,2024-02-20T18:00:06Z,finalized,test,210.5,24f5,6905857,166.2,32.1,2024-02-20T18:00:06Z,0.1,,,,,,,,,,20231117_160155_46_24f5
2023-11-25T15:59:42.551756Z,0,0,True,4.1,PSB.SD,PSScene,3,planetscope,2024-02-15T20:49:51Z,finalized,test,103.0,24f3,6922968,166.1,30.1,2024-02-15T20:49:51Z,2.4,95.0,100.0,0.0,0.0,0.0,0.0,0.0,95.0,100.0,20231125_155942_55_24f3
2023-11-24T16:01:55.563326Z,0,0,True,4.0,PSB.SD,PSScene,3,planetscope,2024-02-14T21:16:45Z,finalized,test,101.0,24f1,6920776,166.3,29.8,2024-02-14T21:16:45Z,5.0,87.0,96.0,0.0,0.0,4.0,0.0,0.0,62.0,100.0,20231124_160155_56_24f1
2023-11-24T16:01:53.26974Z,0,0,True,4.0,PSB.SD,PSScene,3,planetscope,2024-02-14T21:16:45Z,finalized,test,101.0,24f1,6920776,166.4,29.7,2024-02-14T21:16:45Z,5.0,91.0,97.0,0.0,0.0,3.0,0.0,0.0,67.0,100.0,20231124_160153_26_24f1
2023-11-24T16:01:50.97621Z,0,0,True,4.0,PSB.SD,PSScene,3,planetscope,2024-02-14T21:16:45Z,finalized,standard,101.1,24f1,6920776,166.4,29.6,2024-02-14T21:16:45Z,5.0,95.0,100.0,0.0,0.0,0.0,0.0,0.0,69.0,100.0,20231124_160150_97_24f1
2023-11-24T16:01:48.682624Z,0,0,True,4.0,PSB.SD,PSScene,3,planetscope,2024-02-14T21:16:45Z,finalized,standard,101.0,24f1,6920776,166.5,29.4,2024-02-14T21:16:45Z,5.0,96.0,99.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,20231124_160148_68_24f1
2023-11-24T16:03:17.550201Z,0,0,True,4.0,PSB.SD,PSScene,3,planetscope,2024-02-14T16:22:26Z,finalized,standard,101.1,24ed,6921375,166.5,29.4,2024-02-14T16:22:26Z,5.0,92.0,98.0,0.0,0.0,1.0,0.0,0.0,66.0,100.0,20231124_160317_55_24ed
2023-12-08T16:03:08.092499Z,0,0,True,4.0,PSB.SD,PSScene,3,planetscope,2024-02-14T15:36:18Z,finalized,standard,107.9,24eb,6951959,165.5,27.4,2024-02-14T15:36:18Z,1.1,91.0,85.0,0.0,0.0,15.0,0.0,0.0,76.0,100.0,20231208_160308_09_24eb
2023-12-08T16:03:03.533279Z,0,0,True,4.0,PSB.SD,PSScene,3,planetscope,2024-02-14T15:36:18Z,finalized,standard,107.7,24eb,6951959,165.6,27.1,2024-02-14T15:36:18Z,1.2,88.0,71.0,0.0,0.0,28.0,0.0,0.0,69.0,100.0,20231208_160303_53_24eb
2023-12-08T16:03:14.931356Z,0,0,True,4.0,PSB.SD,PSScene,3,planetscope,2024-02-14T15:36:17Z,finalized,standard,107.9,24eb,6951959,165.3,27.8,2024-02-14T15:36:17Z,1.1,73.0,32.0,0.0,0.0,68.0,0.0,0.0,73.0,100.0,20231208_160314_93_24eb
2023-12-08T16:03:10.372136Z,0,0,True,4.0,PSB.SD,PSScene,3,planetscope,2024-02-14T15:36:17Z,finalized,test,107.8,24eb,6951959,165.4,27.5,2024-02-14T15:36:17Z,1.1,91.0,94.0,0.0,0.0,6.0,0.0,0.0,62.0,100.0,20231208_160310_37_24eb
2023-11-24T16:03:03.249264Z,0,0,True,4.0,PSB.SD,PSScene,3,planetscope,2024-02-09T17:45:55Z,finalized,standard,101.2,24d3,6920499,166.2,30.1,2024-02-09T17:45:55Z,4.9,69.0,21.0,0.0,0.0,79.0,0.0,0.0,67.0,100.0,20231124_160303_24_24d3
2023-11-24T16:02:58.650475Z,0,0,True,4.0,PSB.SD,PSScene,3,planetscope,2024-02-09T17:45:55Z,finalized,test,101.3,24d3,6920499,166.3,29.8,2024-02-09T17:45:55Z,5.0,,,,,,,,,,20231124_160258_65_24d3
2023-11-24T16:02:56.351107Z,0,0,True,4.0,PSB.SD,PSScene,3,planetscope,2024-02-09T17:45:55Z,finalized,standard,101.3,24d3,6920499,166.4,29.7,2024-02-09T17:45:55Z,5.0,,,,,,,,,,20231124_160256_35_24d3
2023-11-24T16:02:54.05174Z,0,0,True,4.0,PSB.SD,PSScene,3,planetscope,2024-02-09T17:45:55Z,finalized,standard,101.3,24d3,6920499,166.4,29.5,2024-03-15T16:19:29Z,5.0,80.0,68.0,0.0,0.0,32.0,0.0,0.0,69.0,100.0,20231124_160254_05_24d3
2023-12-08T16:05:45.727107Z,0,0,True,3.9,PSB.SD,PSScene,3,planetscope,2024-02-08T22:28:29Z,finalized,standard,122.9,24cb,6952329,165.4,27.6,2024-02-08T22:28:29Z,0.4,81.0,76.0,0.0,0.0,24.0,0.0,0.0,71.0,100.0,20231208_160545_72_24cb
2023-11-25T15:07:53.232934Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2024-01-04T01:30:34Z,finalized,standard,257.2,2464,6922690,152.0,25.3,2024-01-04T09:58:26Z,0.4,85.0,83.0,0.0,0.0,17.0,0.0,0.0,69.0,100.0,20231125_150753_23_2464
2023-11-25T15:07:51.228956Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2024-01-04T01:30:05Z,finalized,standard,256.5,2464,6922690,152.0,25.2,2024-01-04T09:58:26Z,0.4,77.0,45.0,0.0,0.0,54.0,0.0,0.0,63.0,100.0,20231125_150751_22_2464
2023-12-30T15:47:29.493775Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2023-12-31T05:18:05Z,finalized,test,262.9,2478,7005930,159.3,26.3,2023-12-31T13:41:17Z,0.7,93.0,100.0,0.0,0.0,0.0,0.0,0.0,69.0,100.0,20231230_154729_49_2478
2023-12-30T15:47:31.510803Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2023-12-31T05:17:00Z,finalized,test,263.2,2478,7005930,159.3,26.4,2023-12-31T11:06:31Z,0.7,93.0,100.0,0.0,0.0,0.0,0.0,0.0,72.0,100.0,20231230_154731_51_2478
2023-12-30T15:47:27.476748Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2023-12-31T05:16:52Z,finalized,test,263.5,2478,7005930,159.4,26.2,2023-12-31T13:41:17Z,0.7,93.0,100.0,0.0,0.0,0.0,0.0,0.0,93.0,100.0,20231230_154727_47_2478
2023-12-30T15:47:23.442693Z,0,0,True,3.6,PSB.SD,PSScene,3,planetscope,2023-12-31T05:16:23Z,finalized,test,262.3,2478,7005930,159.5,25.9,2023-12-31T12:57:26Z,0.7,91.0,100.0,0.0,0.0,0.0,0.0,0.0,91.0,100.0,20231230_154723_44_2478
2023-12-30T15:47:25.45972Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2023-12-31T05:15:49Z,finalized,test,262.0,2478,7005930,159.4,26.1,2023-12-31T13:41:17Z,0.7,91.0,100.0,0.0,0.0,0.0,0.0,0.0,91.0,100.0,20231230_154725_45_2478
2023-12-30T15:03:20.806269Z,0,0,True,3.9,PSB.SD,PSScene,3,planetscope,2023-12-30T22:39:55Z,finalized,standard,100.9,24c1,7005415,149.1,22.3,2023-12-31T05:08:24Z,5.1,95.0,100.0,0.0,0.0,0.0,0.0,0.0,72.0,100.0,20231230_150320_80_24c1
2023-12-30T15:03:09.637619Z,0,0,True,3.9,PSB.SD,PSScene,3,planetscope,2023-12-30T22:38:21Z,finalized,standard,101.0,24c1,7005415,149.4,21.7,2023-12-31T05:08:23Z,5.1,89.0,100.0,0.0,0.0,0.0,0.0,0.0,69.0,100.0,20231230_150309_63_24c1
2023-12-30T14:36:17.444057Z,0,0,True,3.8,PSB.SD,PSScene,3,planetscope,2023-12-30T17:18:06Z,finalized,standard,113.1,2445,7005136,142.6,18.8,2023-12-31T05:15:51Z,0.6,94.0,100.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,20231230_143617_44_2445
2023-12-30T14:36:08.684872Z,0,0,True,3.8,PSB.SD,PSScene,3,planetscope,2023-12-30T17:18:01Z,finalized,standard,113.5,2445,7005136,142.8,18.4,2023-12-31T05:15:47Z,0.6,87.0,96.0,0.0,0.0,4.0,0.0,0.0,62.0,100.0,20231230_143608_68_2445
2023-12-30T14:36:15.254233Z,0,0,True,3.8,PSB.SD,PSScene,3,planetscope,2023-12-30T17:17:32Z,finalized,standard,113.3,2445,7005136,142.7,18.7,2023-12-31T05:15:32Z,0.6,91.0,100.0,0.0,0.0,0.0,0.0,0.0,61.0,100.0,20231230_143615_25_2445
2023-12-29T15:02:06.025831Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2023-12-29T22:03:46Z,finalized,test,268.8,2455,7003067,148.9,22.4,2023-12-30T05:15:39Z,1.1,83.0,98.0,0.0,0.0,2.0,0.0,0.0,59.0,100.0,20231229_150206_02_2455
2023-12-25T15:47:47.013217Z,0,0,True,3.6,PSB.SD,PSScene,3,planetscope,2023-12-25T23:21:26Z,finalized,standard,102.0,247d,6993231,160.1,26.1,2023-12-26T09:58:07Z,3.2,88.0,84.0,0.0,0.0,16.0,0.0,0.0,75.0,100.0,20231225_154747_01_247d
2023-12-25T15:07:02.258186Z,0,0,True,3.9,PSB.SD,PSScene,3,planetscope,2023-12-25T20:49:09Z,finalized,standard,277.8,24b5,6993106,149.8,22.3,2023-12-26T03:57:51Z,5.0,76.0,53.0,0.0,0.0,47.0,0.0,0.0,72.0,100.0,20231225_150702_25_24b5
2023-12-25T15:07:11.290361Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2023-12-25T19:11:08Z,finalized,test,276.8,2430,6992947,150.2,22.9,2023-12-26T04:14:00Z,3.7,73.0,45.0,0.0,0.0,55.0,0.0,0.0,64.0,100.0,20231225_150711_29_2430
2023-12-22T15:50:57.941907Z,0,0,True,3.6,PSB.SD,PSScene,3,planetscope,2023-12-23T01:12:29Z,finalized,standard,276.9,247d,6986396,160.6,25.9,2023-12-23T09:58:14Z,3.2,93.0,98.0,0.0,0.0,2.0,0.0,0.0,70.0,100.0,20231222_155057_94_247d
2023-12-22T15:50:59.977954Z,0,0,True,3.6,PSB.SD,PSScene,3,planetscope,2023-12-23T01:12:07Z,finalized,standard,277.0,247d,6986396,160.5,26.0,2023-12-23T09:58:35Z,3.2,89.0,98.0,0.0,0.0,2.0,0.0,0.0,71.0,100.0,20231222_155059_97_247d
2023-12-22T15:50:51.833601Z,0,0,True,3.6,PSB.SD,PSScene,3,planetscope,2023-12-22T23:03:48Z,finalized,test,276.6,247d,6986396,160.7,25.5,2023-12-23T09:58:33Z,3.2,90.0,94.0,0.0,0.0,5.0,0.0,0.0,72.0,100.0,20231222_155051_83_247d
2023-12-22T15:50:47.761507Z,0,0,True,3.6,PSB.SD,PSScene,3,planetscope,2023-12-22T23:03:29Z,finalized,standard,276.8,247d,6986396,160.8,25.3,2023-12-23T09:58:36Z,3.2,93.0,100.0,0.0,0.0,0.0,0.0,0.0,67.0,100.0,20231222_155047_76_247d
2023-12-22T15:50:49.797546Z,0,0,True,3.6,PSB.SD,PSScene,3,planetscope,2023-12-22T23:01:43Z,finalized,standard,276.6,247d,6986396,160.7,25.4,2023-12-23T09:58:11Z,3.2,90.0,99.0,0.0,0.0,1.0,0.0,0.0,74.0,100.0,20231222_155049_79_247d
2023-12-22T16:03:45.042086Z,0,0,True,4.0,PSB.SD,PSScene,3,planetscope,2023-12-22T21:56:11Z,finalized,test,277.8,24eb,6986156,163.8,26.8,2023-12-23T06:57:59Z,5.0,84.0,76.0,0.0,0.0,24.0,0.0,0.0,76.0,100.0,20231222_160345_04_24eb
2023-12-22T15:50:11.257846Z,0,0,True,3.6,PSB.SD,PSScene,3,planetscope,2023-12-22T21:48:50Z,finalized,standard,277.2,241c,6986068,160.0,25.1,2023-12-23T07:36:35Z,3.9,86.0,87.0,0.0,0.0,13.0,0.0,0.0,67.0,100.0,20231222_155011_25_241c
2023-12-22T15:50:09.239877Z,0,0,True,3.6,PSB.SD,PSScene,3,planetscope,2023-12-22T21:46:50Z,finalized,standard,277.3,241c,6986068,160.0,25.0,2023-12-23T07:36:42Z,4.0,88.0,99.0,0.0,0.0,1.0,0.0,0.0,67.0,100.0,20231222_155009_23_241c
2023-12-22T15:50:17.311698Z,0,0,True,3.6,PSB.SD,PSScene,3,planetscope,2023-12-22T21:46:48Z,finalized,standard,277.4,241c,6986068,159.8,25.4,2023-12-23T07:36:46Z,3.9,88.0,93.0,0.0,0.0,7.0,0.0,0.0,73.0,100.0,20231222_155017_31_241c
2023-12-22T15:50:19.329668Z,0,0,True,3.6,PSB.SD,PSScene,3,planetscope,2023-12-22T21:46:45Z,finalized,standard,277.4,241c,6986068,159.8,25.5,2023-12-23T07:36:34Z,3.9,88.0,94.0,0.0,0.0,6.0,0.0,0.0,74.0,100.0,20231222_155019_32_241c
2023-12-22T15:50:13.275815Z,0,0,True,3.6,PSB.SD,PSScene,3,planetscope,2023-12-22T21:46:42Z,finalized,test,277.2,241c,6986068,159.9,25.2,2023-12-23T07:36:21Z,3.9,88.0,100.0,0.0,0.0,0.0,0.0,0.0,67.0,100.0,20231222_155013_27_241c
2023-12-22T15:50:15.293729Z,0,0,True,3.6,PSB.SD,PSScene,3,planetscope,2023-12-22T21:46:34Z,finalized,standard,277.3,241c,6986068,159.9,25.3,2023-12-23T07:36:20Z,3.9,90.0,97.0,0.0,0.0,3.0,0.0,0.0,72.0,100.0,20231222_155015_29_241c
2023-12-22T15:07:17.639884Z,0,0,True,3.8,PSB.SD,PSScene,3,planetscope,2023-12-22T21:37:30Z,finalized,standard,104.6,24c9,6985792,150.6,21.9,2023-12-23T06:58:11Z,1.7,88.0,99.0,0.0,0.0,1.0,0.0,0.0,67.0,100.0,20231222_150717_63_24c9
2023-12-22T15:07:15.442365Z,0,0,True,3.8,PSB.SD,PSScene,3,planetscope,2023-12-22T21:36:54Z,finalized,standard,104.7,24c9,6985792,150.7,21.8,2023-12-23T06:57:58Z,1.7,90.0,100.0,0.0,0.0,0.0,0.0,0.0,71.0,100.0,20231222_150715_44_24c9
2023-12-21T15:45:21.067973Z,0,0,True,3.6,PSB.SD,PSScene,3,planetscope,2023-12-22T00:06:38Z,finalized,standard,115.3,2438,6983717,160.3,26.4,2023-12-22T09:57:58Z,0.6,89.0,100.0,0.0,0.0,0.0,0.0,0.0,89.0,100.0,20231221_154521_06_2438
2023-12-21T15:50:36.973101Z,0,0,True,3.6,PSB.SD,PSScene,3,planetscope,2023-12-21T23:06:40Z,finalized,standard,277.8,24a4,6983993,160.1,25.8,2023-12-22T09:57:55Z,5.0,95.0,100.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,20231221_155036_97_24a4
2023-12-21T15:50:32.90007Z,0,0,True,3.6,PSB.SD,PSScene,3,planetscope,2023-12-21T23:06:19Z,finalized,test,277.8,24a4,6983993,160.2,25.6,2023-12-22T09:58:17Z,5.0,93.0,100.0,0.0,0.0,0.0,0.0,0.0,69.0,100.0,20231221_155032_90_24a4
2023-12-21T15:50:34.936613Z,0,0,True,3.6,PSB.SD,PSScene,3,planetscope,2023-12-21T23:05:49Z,finalized,standard,277.8,24a4,6983993,160.2,25.7,2023-12-22T09:58:03Z,5.0,95.0,100.0,0.0,0.0,0.0,0.0,0.0,74.0,100.0,20231221_155034_93_24a4
2023-12-21T15:08:42.885308Z,0,0,True,3.8,PSB.SD,PSScene,3,planetscope,2023-12-21T23:05:47Z,finalized,test,255.9,24c4,6983543,150.4,22.2,2023-12-22T05:23:39Z,0.4,92.0,100.0,0.0,0.0,0.0,0.0,0.0,82.0,100.0,20231221_150842_88_24c4
2023-12-21T15:08:45.083598Z,0,0,True,3.8,PSB.SD,PSScene,3,planetscope,2023-12-21T23:05:04Z,finalized,standard,260.2,24c4,6983543,150.4,22.3,2023-12-22T05:23:52Z,0.4,93.0,100.0,0.0,0.0,0.0,0.0,0.0,73.0,100.0,20231221_150845_08_24c4
2023-12-21T15:05:37.577763Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2023-12-21T21:34:15Z,finalized,standard,100.9,2439,6983391,150.9,23.1,2023-12-22T05:11:21Z,4.8,94.0,100.0,0.0,0.0,0.0,0.0,0.0,72.0,100.0,20231221_150537_57_2439
2023-12-21T15:05:35.601993Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2023-12-21T21:33:41Z,finalized,standard,100.8,2439,6983391,151.0,23.0,2023-12-22T05:11:02Z,4.8,94.0,100.0,0.0,0.0,0.0,0.0,0.0,69.0,100.0,20231221_150535_60_2439
2023-12-21T15:05:33.626223Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2023-12-21T21:33:20Z,finalized,standard,100.9,2439,6983391,151.0,22.9,2023-12-22T05:11:06Z,4.8,95.0,100.0,0.0,0.0,0.0,0.0,0.0,95.0,100.0,20231221_150533_62_2439
2023-12-21T15:08:36.444028Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2023-12-21T21:22:06Z,finalized,test,103.3,242d,6983567,151.3,22.7,2023-12-22T05:09:21Z,2.1,92.0,100.0,0.0,0.0,0.0,0.0,0.0,92.0,100.0,20231221_150836_44_242d
2023-12-21T15:08:40.420871Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2023-12-21T21:15:04Z,finalized,standard,103.1,242d,6983567,151.2,22.9,2023-12-22T05:10:28Z,2.1,95.0,100.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,20231221_150840_42_242d
2023-12-09T15:07:44.152558Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2023-12-21T04:31:05Z,finalized,standard,104.3,2464,6981422,151.9,22.9,2024-01-02T22:19:57Z,1.9,89.0,99.0,0.0,0.0,1.0,0.0,0.0,64.0,100.0,20231209_150744_15_2464
2023-12-09T15:07:46.1367Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2023-12-21T04:29:38Z,finalized,standard,105.0,2464,6981422,151.8,23.0,2024-01-02T22:19:57Z,1.9,87.0,90.0,0.0,0.0,10.0,0.0,0.0,63.0,100.0,20231209_150746_13_2464
2023-12-09T15:07:42.168471Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2023-12-21T04:23:22Z,finalized,standard,104.7,2464,6981422,151.9,22.8,2024-01-02T22:19:57Z,1.9,89.0,100.0,0.0,0.0,0.0,0.0,0.0,64.0,100.0,20231209_150742_16_2464
2023-12-09T15:07:48.120842Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2023-12-21T03:43:59Z,finalized,standard,105.0,2464,6981422,151.8,23.1,2024-01-02T22:19:57Z,1.9,87.0,82.0,0.0,0.0,18.0,0.0,0.0,62.0,100.0,20231209_150748_12_2464
2023-12-09T15:07:52.089072Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2023-12-21T03:43:56Z,finalized,standard,105.6,2464,6981422,151.7,23.3,2024-01-02T22:19:57Z,2.0,84.0,87.0,0.0,0.0,12.0,0.0,0.0,70.0,100.0,20231209_150752_08_2464
2023-12-09T15:07:54.073214Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2023-12-21T03:43:42Z,finalized,standard,105.8,2464,6981422,151.6,23.4,2024-01-02T22:19:57Z,1.9,90.0,98.0,0.0,0.0,2.0,0.0,0.0,67.0,100.0,20231209_150754_07_2464
2023-12-09T15:07:50.104984Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2023-12-21T03:43:40Z,finalized,standard,105.2,2464,6981422,151.7,23.2,2024-01-02T22:19:57Z,1.9,83.0,77.0,0.0,0.0,23.0,0.0,0.0,69.0,100.0,20231209_150750_10_2464
2023-12-20T15:02:51.711257Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2023-12-21T00:34:21Z,finalized,standard,277.3,2459,6981458,149.8,22.7,2023-12-21T09:59:11Z,4.6,85.0,100.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,20231220_150251_71_2459
2023-12-20T15:02:47.746145Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2023-12-21T00:33:44Z,finalized,test,277.3,2459,6981458,149.9,22.5,2023-12-21T09:59:33Z,4.6,82.0,100.0,0.0,0.0,0.0,0.0,0.0,62.0,100.0,20231220_150247_74_2459
2023-12-20T15:02:49.728701Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2023-12-21T00:31:54Z,finalized,standard,277.4,2459,6981458,149.9,22.6,2023-12-21T09:59:20Z,4.6,83.0,100.0,0.0,0.0,0.0,0.0,0.0,64.0,100.0,20231220_150249_72_2459
2023-12-20T15:07:18.229064Z,0,0,True,3.8,PSB.SD,PSScene,3,planetscope,2023-12-20T23:20:19Z,finalized,standard,275.9,24d0,6981100,150.6,22.2,2023-12-21T06:59:31Z,2.5,95.0,100.0,0.0,0.0,0.0,0.0,0.0,76.0,100.0,20231220_150718_22_24d0
2023-12-20T15:07:16.031513Z,0,0,True,3.8,PSB.SD,PSScene,3,planetscope,2023-12-20T23:19:37Z,finalized,standard,275.9,24d0,6981100,150.7,22.1,2023-12-21T06:59:31Z,2.5,95.0,100.0,0.0,0.0,0.0,0.0,0.0,75.0,100.0,20231220_150716_03_24d0
2023-12-20T15:07:22.624112Z,0,0,True,3.8,PSB.SD,PSScene,3,planetscope,2023-12-20T23:19:17Z,finalized,test,276.2,24d0,6981100,150.5,22.5,2023-12-21T06:59:31Z,2.5,96.0,100.0,0.0,0.0,0.0,0.0,0.0,77.0,100.0,20231220_150722_62_24d0
2023-12-20T15:07:13.833962Z,0,0,True,3.8,PSB.SD,PSScene,3,planetscope,2023-12-20T23:18:39Z,finalized,standard,275.9,24d0,6981100,150.7,22.0,2023-12-21T06:59:31Z,2.5,95.0,100.0,0.0,0.0,0.0,0.0,0.0,79.0,100.0,20231220_150713_83_24d0
2023-12-20T15:07:11.63641Z,0,0,True,3.8,PSB.SD,PSScene,3,planetscope,2023-12-20T23:18:32Z,finalized,standard,276.2,24d0,6981100,150.8,21.9,2023-12-21T06:59:31Z,2.5,94.0,100.0,0.0,0.0,0.0,0.0,0.0,77.0,100.0,20231220_150711_63_24d0
2023-12-20T15:07:20.426561Z,0,0,True,3.8,PSB.SD,PSScene,3,planetscope,2023-12-20T23:18:29Z,finalized,standard,275.9,24d0,6981100,150.6,22.4,2023-12-21T06:59:31Z,2.5,94.0,100.0,0.0,0.0,0.0,0.0,0.0,94.0,100.0,20231220_150720_42_24d0
2023-12-20T15:07:09.438859Z,0,0,True,3.8,PSB.SD,PSScene,3,planetscope,2023-12-20T23:18:28Z,finalized,standard,276.0,24d0,6981100,150.8,21.8,2023-12-21T06:59:31Z,2.5,94.0,100.0,0.0,0.0,0.0,0.0,0.0,77.0,100.0,20231220_150709_43_24d0
2023-12-20T15:04:19.134835Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2023-12-20T23:18:08Z,finalized,standard,100.9,2423,6981115,149.9,22.0,2023-12-21T03:57:46Z,4.9,94.0,100.0,0.0,0.0,0.0,0.0,0.0,80.0,100.0,20231220_150419_13_2423
2023-12-20T15:46:19.959234Z,0,0,True,3.6,PSB.SD,PSScene,3,planetscope,2023-12-20T22:53:03Z,finalized,standard,101.3,249c,6980985,160.5,25.6,2023-12-21T09:59:34Z,5.0,95.0,100.0,0.0,0.0,0.0,0.0,0.0,74.0,100.0,20231220_154619_95_249c
2023-12-20T15:46:26.067204Z,0,0,True,3.6,PSB.SD,PSScene,3,planetscope,2023-12-20T22:50:08Z,finalized,standard,101.2,249c,6980985,160.3,26.0,2023-12-21T04:26:03Z,5.0,96.0,100.0,0.0,0.0,0.0,0.0,0.0,78.0,100.0,20231220_154626_06_249c
2023-12-20T15:46:15.887264Z,0,0,True,3.6,PSB.SD,PSScene,3,planetscope,2023-12-20T22:50:01Z,finalized,standard,101.3,249c,6980985,160.6,25.4,2023-12-21T09:59:37Z,5.0,95.0,100.0,0.0,0.0,0.0,0.0,0.0,79.0,100.0,20231220_154615_88_249c
2023-12-20T15:46:21.995274Z,0,0,True,3.6,PSB.SD,PSScene,3,planetscope,2023-12-20T22:49:41Z,finalized,standard,101.2,249c,6980985,160.4,25.7,2023-12-21T04:25:44Z,5.0,95.0,100.0,0.0,0.0,0.0,0.0,0.0,75.0,100.0,20231220_154621_99_249c
2023-12-20T15:46:17.923249Z,0,0,True,3.6,PSB.SD,PSScene,3,planetscope,2023-12-20T22:49:18Z,finalized,standard,101.3,249c,6980985,160.5,25.5,2023-12-21T04:25:41Z,5.0,95.0,100.0,0.0,0.0,0.0,0.0,0.0,80.0,100.0,20231220_154617_92_249c
2023-12-20T15:46:13.851279Z,0,0,True,3.6,PSB.SD,PSScene,3,planetscope,2023-12-20T22:49:09Z,finalized,standard,101.2,249c,6980985,160.6,25.3,2023-12-21T04:25:59Z,5.0,95.0,100.0,0.0,0.0,0.0,0.0,0.0,78.0,100.0,20231220_154613_85_249c
2023-12-20T15:46:24.031259Z,0,0,True,3.6,PSB.SD,PSScene,3,planetscope,2023-12-20T22:48:46Z,finalized,standard,101.2,249c,6980985,160.4,25.9,2023-12-21T09:59:25Z,5.0,95.0,100.0,0.0,0.0,0.0,0.0,0.0,95.0,100.0,20231220_154624_03_249c
2023-12-20T15:02:59.231161Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2023-12-20T22:35:17Z,finalized,standard,101.0,2460,6981504,150.1,21.5,2023-12-21T06:38:00Z,5.0,93.0,100.0,0.0,0.0,0.0,0.0,0.0,74.0,100.0,20231220_150259_23_2460
2023-12-20T15:03:05.190977Z,0,0,True,3.5,PSB.SD,PSScene,3,planetscope,2023-12-20T22:30:22Z,finalized,standard,101.0,2460,6981504,150.0,21.8,2023-12-21T06:38:00Z,5.0,92.0,100.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,20231220_150305_19_2460
